No. ,Country Name ,Signed ,Ratification ,Party,
95,Latvia  ,1992-06-11,1995-12-14,rtf  ,1996-03-13
96,Lebanon  ,1992-06-12,1994-12-15,rtf  ,1995-03-15
97,Lesotho  ,1992-06-11,1995-01-10,rtf  ,1995-04-10
98,Liberia  ,1992-06-12,2000-11-08,rtf  ,2001-02-06
99,Libya  ,1992-06-29,2001-07-12,rtf  ,2001-10-10
100,Liechtenstein  ,1992-06-05,1997-11-19,rtf  ,1998-02-17
101,Lithuania  ,1992-06-11,1996-02-01,rtf  ,1996-05-01
102,Luxembourg  ,1992-06-09,1994-05-09,rtf  ,1994-08-07
103,Madagascar  ,1992-06-08,1996-03-04,rtf  ,1996-06-02
104,Malawi  ,1992-06-10,1994-02-02,rtf  ,1994-05-03
105,Malaysia  ,1992-06-12,1994-06-24,rtf  ,1994-09-22
106,Maldives  ,1992-06-12,1992-11-09,rtf  ,1993-12-29
107,Mali  ,1992-09-30,1995-03-29,rtf  ,1995-06-27
108,Malta  ,1992-06-12,2000-12-29,rtf  ,2001-03-29
109,Marshall Islands  ,1992-06-12,1992-10-08,rtf  ,1993-12-29
110,Mauritania  ,1992-06-12,1996-08-16,rtf  ,1996-11-14
111,Mauritius  ,1992-06-10,1992-09-04,rtf  ,1993-12-29
112,Mexico  ,1992-06-13,1993-03-11,rtf  ,1993-12-29
113,Micronesia (Federated States of)  ,1992-06-12,1994-06-20,rtf  ,1994-09-18
114,Monaco  ,1992-06-11,1992-11-20,rtf  ,1993-12-29
115,Mongolia  ,1992-06-12,1993-09-30,rtf  ,1993-12-29
116,Montenegro  ,  ,2006-10-23,scs  ,2006-06-03
117,Morocco  ,1992-06-13,1995-08-21,rtf  ,1995-11-19
118,Mozambique  ,1992-06-12,1995-08-25,rtf  ,1995-11-23
119,Myanmar  ,1992-06-11,1994-11-25,rtf  ,1995-02-23
120,Namibia  ,1992-06-12,1997-05-16,rtf  ,1997-08-14
121,Nauru  ,1992-06-05,1993-11-11,rtf  ,1994-02-08
122,Nepal  ,1992-06-12,1993-11-23,rtf  ,1994-02-21
123,Netherlands  ,1992-06-05,1994-07-12,acp  ,1994-10-10
124,New Zealand  ,1992-06-12,1993-09-16,rtf  ,1993-12-29
125,Nicaragua  ,1992-06-13,1995-11-20,rtf  ,1996-02-18
126,Niger  ,1992-06-11,1995-07-25,rtf  ,1995-10-23
127,Nigeria  ,1992-06-13,1994-08-29,rtf  ,1994-11-27
128,Niue  ,  ,1996-02-28,acs  ,1996-05-28
129,Norway  ,1992-06-09,1993-07-09,rtf  ,1993-12-29
130,Oman  ,1992-06-10,1995-02-08,rtf  ,1995-05-09
131,Pakistan  ,1992-06-05,1994-07-26,rtf  ,1994-10-24
132,Palau  ,  ,1999-01-06,acs  ,1999-04-06
133,Panama  ,1992-06-13,1995-01-17,rtf  ,1995-04-17
134,Papua New Guinea  ,1992-06-13,1993-03-16,rtf  ,1993-12-29
135,Paraguay  ,1992-06-12,1994-02-24,rtf  ,1994-05-25
136,Peru  ,1992-06-12,1993-06-07,rtf  ,1993-12-29
137,Philippines  ,1992-06-12,1993-10-08,rtf  ,1994-01-06
138,Poland  ,1992-06-05,1996-01-18,rtf  ,1996-04-17
139,Portugal  ,1992-06-13,1993-12-21,rtf  ,1994-03-21
140,Qatar  ,1992-06-11,1996-08-21,rtf  ,1996-11-19
141,Republic of Korea  ,1992-06-13,1994-10-03,rtf  ,1995-01-01
142,Republic of Moldova  ,1992-06-05,1995-10-20,rtf  ,1996-01-18
143,Romania  ,1992-06-05,1994-08-17,rtf  ,1994-11-15
144,Russian Federation  ,1992-06-13,1995-04-05,rtf  ,1995-07-04
145,Rwanda  ,1992-06-10,1996-05-29,rtf  ,1996-08-27
146,Saint Kitts and Nevis  ,1992-06-12,1993-01-07,rtf  ,1993-12-29
147,Saint Lucia  ,  ,1993-07-28,acs  ,1993-12-29
148,Saint Vincent and the Grenadines  ,  ,1996-06-03,acs  ,1996-09-01
149,Samoa  ,1992-06-12,1994-02-09,rtf  ,1994-05-10
150,San Marino  ,1992-06-10,1994-10-28,rtf  ,1995-01-26
151,Sao Tome and Principe  ,1992-06-12,1999-09-29,rtf  ,1999-12-28
152,Saudi Arabia  ,  ,2001-10-03,acs  ,2002-01-01
153,Senegal  ,1992-06-13,1994-10-17,rtf  ,1995-01-15
154,Serbia  ,1992-06-08,2002-03-01,rtf  ,2002-05-30
155,Seychelles  ,1992-06-10,1992-09-22,rtf  ,1993-12-29
156,Sierra Leone  ,  ,1994-12-12,acs  ,1995-03-12
157,Singapore  ,1992-06-12,1995-12-21,rtf  ,1996-03-20
158,Slovakia  ,1993-05-19,1994-08-25,apv  ,1994-11-23
159,Slovenia  ,1992-06-13,1996-07-09,rtf  ,1996-10-07
160,Solomon Islands  ,1992-06-13,1995-10-03,rtf  ,1996-01-01
161,Somalia  ,  ,2009-09-11,acs  ,2009-12-10
162,South Africa  ,1993-06-04,1995-11-02,rtf  ,1996-01-31
163,South Sudan  ,  ,2014-02-17,acs  ,2014-05-18
164,Spain  ,1992-06-13,1993-12-21,rtf  ,1994-03-21
165,Sri Lanka  ,1992-06-10,1994-03-23,rtf  ,1994-06-21
166,State of Palestine  ,  ,2015-01-02,acs  ,2015-04-02
167,Sudan  ,1992-06-09,1995-10-30,rtf  ,1996-01-28
168,Suriname  ,1992-06-13,1996-01-12,rtf  ,1996-04-11
169,Swaziland  ,1992-06-12,1994-11-09,rtf  ,1995-02-07
170,Sweden  ,1992-06-08,1993-12-16,rtf  ,1994-03-16
171,Switzerland  ,1992-06-12,1994-11-21,rtf  ,1995-02-19
172,Syrian Arab Republic  ,1993-05-03,1996-01-04,rtf  ,1996-04-03
173,Tajikistan  ,  ,1997-10-29,acs  ,1998-01-27
174,Thailand  ,1992-06-12,2003-10-31,rtf  ,2004-01-29
175,The former Yugoslav Republic of Macedonia  ,  ,1997-12-02,acs  ,1998-03-02
176,Timor-Leste  ,  ,2006-10-10,acs  ,2007-01-08
177,Togo  ,1992-06-12,1995-10-04,acp  ,1996-01-02
178,Tonga  ,  ,1998-05-19,acs  ,1998-08-17
179,Trinidad and Tobago  ,1992-06-11,1996-08-01,rtf  ,1996-10-30
180,Tunisia  ,1992-06-13,1993-07-15,rtf  ,1993-12-29
181,Turkey  ,1992-06-11,1997-02-14,rtf  ,1997-05-15
182,Turkmenistan  ,  ,1996-09-18,acs  ,1996-12-17
183,Tuvalu  ,1992-06-08,2002-12-20,rtf  ,2003-03-20
184,Uganda  ,1992-06-12,1993-09-08,rtf  ,1993-12-29
185,Ukraine  ,1992-06-11,1995-02-07,rtf  ,1995-05-08
186,United Arab Emirates  ,1992-06-11,2000-02-10,rtf  ,2000-05-10
187,United Kingdom of Great Britain and Northern Ireland  ,1992-06-12,1994-06-03,rtf  ,1994-09-01
188,United Republic of Tanzania  ,1992-06-12,1996-03-08,rtf  ,1996-06-06
189,Uruguay  ,1992-06-09,1993-11-05,rtf  ,1994-02-03
190,Uzbekistan  ,  ,1995-07-19,acs  ,1995-10-17
191,Vanuatu  ,1992-06-09,1993-03-25,rtf  ,1993-12-29
192,Venezuela (Bolivarian Republic of)  ,1992-06-12,1994-09-13,rtf  ,1994-12-12
193,Viet Nam  ,1993-05-28,1994-11-16,rtf  ,1995-02-14
194,Yemen  ,1992-06-12,1996-02-21,rtf  ,1996-05-21
195,Zambia  ,1992-06-11,1993-05-28,rtf  ,1993-12-29
196,Zimbabwe  ,1992-06-12,1994-11-11,rtf  ,1995-02-09
  ,Holy See  ,  ,  ,  , 
  ,United States of America  ,1993-06-04,  ,  , 
